iter	Passed	Remaining
0	159	159054
1	161	80832
2	164	54533
3	165	41264
4	167	33308
5	168	27933
6	169	24109
7	171	21228
8	172	18977
9	173	17170
10	174	15688
11	175	14442
12	176	13391
13	177	12484
14	178	11704
15	179	11015
16	179	10405
17	180	9862
18	181	9375
19	182	8935
20	183	8534
21	183	8174
22	184	7847
23	185	7546
24	186	7267
25	187	7009
26	187	6766
27	188	6541
28	189	6331
29	189	6135
30	190	5954
31	191	5785
32	191	5626
33	192	5474
34	193	5331
35	194	5196
36	194	5069
37	195	4948
38	196	4834
39	196	4725
40	197	4623
41	198	4524
42	199	4429
43	199	4340
44	200	4255
45	201	4176
46	202	4105
47	203	4030
48	203	3957
49	204	3893
50	205	3829
51	206	3768
52	207	3707
53	208	3647
54	209	3592
55	210	3554
56	211	3500
57	212	3450
58	213	3400
59	213	3352
60	214	3304
61	215	3258
62	216	3212
63	216	3168
64	217	3125
65	217	3083
66	218	3044
67	219	3002
68	220	2979
69	222	2956
70	223	2923
71	224	2890
72	225	2858
73	225	2825
74	226	2792
75	227	2761
76	227	2730
77	228	2699
78	229	2670
79	229	2640
80	230	2612
81	230	2584
82	231	2558
83	232	2531
84	232	2504
85	233	2481
86	234	2455
87	235	2436
88	236	2415
89	236	2394
90	237	2374
91	238	2354
92	239	2332
93	239	2311
94	240	2289
95	241	2269
96	241	2249
97	242	2230
98	242	2210
99	243	2191
100	244	2173
101	244	2152
102	245	2134
103	245	2116
104	246	2099
105	247	2083
106	247	2067
107	248	2052
108	249	2040
109	250	2025
110	250	2009
111	251	1993
112	252	1978
113	252	1963
114	253	1948
115	253	1933
116	254	1919
117	254	1905
118	255	1890
119	255	1877
120	256	1863
121	257	1850
122	257	1835
123	258	1822
124	258	1810
125	259	1797
126	259	1785
127	260	1772
128	260	1760
129	261	1749
130	262	1738
131	262	1728
132	263	1719
133	264	1708
134	264	1697
135	265	1687
136	266	1676
137	266	1665
138	267	1656
139	268	1646
140	268	1636
141	269	1627
142	269	1618
143	270	1608
144	271	1600
145	272	1591
146	272	1582
147	273	1573
148	273	1564
149	274	1556
150	275	1547
151	275	1539
152	276	1531
153	277	1525
154	278	1518
155	279	1510
156	279	1502
157	280	1494
158	281	1487
159	281	1479
160	282	1472
161	283	1464
162	283	1457
163	284	1450
164	285	1442
165	285	1436
166	286	1428
167	287	1421
168	287	1414
169	288	1408
170	289	1401
171	289	1394
172	290	1387
173	290	1381
174	291	1375
175	292	1370
176	293	1364
177	294	1359
178	294	1353
179	295	1346
180	295	1339
181	296	1332
182	297	1326
183	297	1320
184	298	1315
185	299	1309
186	299	1303
187	300	1297
188	301	1291
189	301	1286
190	302	1280
191	303	1275
192	303	1269
193	304	1264
194	304	1258
195	305	1253
196	306	1249
197	307	1245
198	308	1242
199	309	1237
200	309	1231
201	310	1226
202	310	1220
203	311	1215
204	312	1210
205	312	1205
206	313	1200
207	313	1195
208	314	1190
209	315	1185
210	315	1180
211	316	1175
212	316	1170
213	317	1166
214	318	1161
215	318	1156
216	319	1152
217	319	1147
218	320	1142
219	321	1139
220	322	1135
221	322	1131
222	323	1126
223	323	1122
224	324	1117
225	325	1113
226	325	1108
227	326	1104
228	326	1100
229	327	1096
230	327	1091
